"","Inbreeding_Coefficient","Value","Province_Name"
"390","Inbreeding.2","0.126315789473684","Bocas del Toro"
"391","Inbreeding.2","0.0947368421052631","Bocas del Toro"
"392","Inbreeding.2","0.0631578947368421","Bocas del Toro"
"393","Inbreeding.2","0.157894736842105","Bocas del Toro"
"394","Inbreeding.2","0.115789473684211","Bocas del Toro"
"395","Inbreeding.2","0.178947368421053","Bocas del Toro"
"396","Inbreeding.2","0.147368421052632","Bocas del Toro"
"397","Inbreeding.2","0.147368421052632","Bocas del Toro"
"398","Inbreeding.2","0.147368421052632","Bocas del Toro"
"399","Inbreeding.2","0.178947368421053","Bocas del Toro"
"400","Inbreeding.2","0.231578947368421","Bocas del Toro"
"401","Inbreeding.2","0.231578947368421","Bocas del Toro"
"402","Inbreeding.2","0.178947368421053","Bocas del Toro"
"403","Inbreeding.2","0.147368421052632","Bocas del Toro"
"404","Inbreeding.2","0.231578947368421","Bocas del Toro"
"405","Inbreeding.2","0.189473684210526","Bocas del Toro"
"406","Inbreeding.2","0.157894736842105","Bocas del Toro"
"407","Inbreeding.2","0.231578947368421","Bocas del Toro"
"408","Inbreeding.2","0.231578947368421","Bocas del Toro"
"409","Inbreeding.2","0.231578947368421","Bocas del Toro"
"410","Inbreeding.2","0.231578947368421","Bocas del Toro"
"411","Inbreeding.2","0.136842105263158","Bocas del Toro"
"412","Inbreeding.2","0.147368421052632","Bocas del Toro"
"413","Inbreeding.2","0.210526315789474","Bocas del Toro"
"414","Inbreeding.2","0.231578947368421","Bocas del Toro"
"415","Inbreeding.2","0.231578947368421","Bocas del Toro"
"416","Inbreeding.2","0.231578947368421","Bocas del Toro"
"417","Inbreeding.2","0.231578947368421","Bocas del Toro"
"418","Inbreeding.2","0.231578947368421","Bocas del Toro"
"419","Inbreeding.2","0.231578947368421","Bocas del Toro"
"420","Inbreeding.2","0.147368421052632","Bocas del Toro"
"421","Inbreeding.2","0.231578947368421","Bocas del Toro"
"422","Inbreeding.2","0.231578947368421","Bocas del Toro"
"423","Inbreeding.2","0.231578947368421","Bocas del Toro"
"424","Inbreeding.2","0.231578947368421","Bocas del Toro"
"425","Inbreeding.2","0.231578947368421","Bocas del Toro"
"426","Inbreeding.2","0.231578947368421","Bocas del Toro"
"427","Inbreeding.2","0.231578947368421","Bocas del Toro"
"428","Inbreeding.2","0.231578947368421","Bocas del Toro"
"429","Inbreeding.2","0.231578947368421","Bocas del Toro"
"430","Inbreeding.2","0.178947368421053","Bocas del Toro"
"431","Inbreeding.2","0.178947368421053","Bocas del Toro"
"432","Inbreeding.2","0.168421052631579","Bocas del Toro"
"433","Inbreeding.2","0.210526315789474","Bocas del Toro"
"434","Inbreeding.2","0.189473684210526","Bocas del Toro"
"435","Inbreeding.2","0.231578947368421","Bocas del Toro"
"436","Inbreeding.2","0.231578947368421","Bocas del Toro"
"437","Inbreeding.2","0.189473684210526","Bocas del Toro"
"438","Inbreeding.2","0.147368421052632","Bocas del Toro"
"439","Inbreeding.2","0.189473684210526","Bocas del Toro"
"440","Inbreeding.2","0.178947368421053","Bocas del Toro"
"441","Inbreeding.2","0.031578947368421","Bocas del Toro"
"442","Inbreeding.2","0.189473684210526","Bocas del Toro"
"443","Inbreeding.2","0.105263157894737","Bocas del Toro"
"444","Inbreeding.2","0.115789473684211","Bocas del Toro"
"445","Inbreeding.2","0.105263157894737","Bocas del Toro"
"446","Inbreeding.2","0.178947368421053","Bocas del Toro"
"447","Inbreeding.2","0.147368421052632","Bocas del Toro"
"448","Inbreeding.2","0.168421052631579","Bocas del Toro"
"449","Inbreeding.2","0.231578947368421","Bocas del Toro"
"450","Inbreeding.2","0.0947368421052631","Bocas del Toro"
"451","Inbreeding.2","0.147368421052632","Bocas del Toro"
"452","Inbreeding.2","0.147368421052632","Bocas del Toro"
"453","Inbreeding.2","0.147368421052632","Bocas del Toro"
"454","Inbreeding.2","0.0526315789473685","Bocas del Toro"
"455","Inbreeding.2","0.115789473684211","Bocas del Toro"
"456","Inbreeding.2","0.126315789473684","Bocas del Toro"
"457","Inbreeding.2","0.157894736842105","Bocas del Toro"
